country,country_code,indicator,indicator_code,year,value
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2003,0.0788
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,0.22353
Afghanistan,AFG,Gini index,SI.POV.GINI,2004,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2004,59.073
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2004,56.519
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,57.81
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2004,0.0357583485398158
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2004,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2004,0.07899
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,0.225
Afghanistan,AFG,Gini index,SI.POV.GINI,2005,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2005,59.588
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2005,56.88
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,58.247
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2005,0.0351921696042587
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2005,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2005,0.07885
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,0.22702999999999998
Afghanistan,AFG,Gini index,SI.POV.GINI,2006,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2006,60.123
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2006,56.974
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,58.553
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2006,0.040927020165634806
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2006,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2006,0.07914
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,0.22907
Afghanistan,AFG,Gini index,SI.POV.GINI,2007,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2007,60.804
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2007,57.122
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,58.956
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2007,0.018925975396006
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2007,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2007,0.07817
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,0.23113
Afghanistan,AFG,Gini index,SI.POV.GINI,2008,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2008,61.428
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2008,57.984
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,59.708
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2008,0.021865461816297904
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2008,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2008,0.07878
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,0.2332
Afghanistan,AFG,Gini index,SI.POV.GINI,2009,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2009,61.791
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2009,58.681
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,60.248
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2009,0.0364638090813246
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2009,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2009,0.07754
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,0.23528
Afghanistan,AFG,Gini index,SI.POV.GINI,2010,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2010,62.283
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2010,59.097
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2010,60.702
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2010,0.029346867017347403
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2010,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2010,0.07753
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,0.23736999999999997
Afghanistan,AFG,Gini index,SI.POV.GINI,2011,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2011,62.852
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2011,59.625
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2011,61.25
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2011,0.0369150308391849
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2011,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2011,0.07783999999999999
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,0.23948
Afghanistan,AFG,Gini index,SI.POV.GINI,2012,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2012,63.344
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2012,60.099
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2012,61.735
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2012,0.0404786256315645
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2012,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2012,0.07856
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,0.2416
Afghanistan,AFG,Gini index,SI.POV.GINI,2013,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2013,63.814
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2013,60.534
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.188
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2013,0.0341822667584596
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2013,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2013,0.0793
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,0.24373
Afghanistan,AFG,Gini index,SI.POV.GINI,2014,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2014,64.009
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2014,60.495
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,62.26
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2014,0.0363251884652008
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2014,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,0.07915
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,0.24587
Afghanistan,AFG,Gini index,SI.POV.GINI,2015,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2015,64.178
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2015,60.363
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,62.27
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2015,0.031199592414690704
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2015,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,0.09051999999999999
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,0.24803
Afghanistan,AFG,Gini index,SI.POV.GINI,2016,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2016,64.64
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2016,60.661
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,62.646
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2016,0.0253571991833963
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2016,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,0.10132999999999999
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,0.2502
Afghanistan,AFG,Gini index,SI.POV.GINI,2017,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2017,65.606
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2017,59.388
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,62.406
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2017,0.0280833730805469
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2017,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,0.11184
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,0.2525
Afghanistan,AFG,Gini index,SI.POV.GINI,2018,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2018,65.942
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2018,59.175
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2018,62.443
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2018,0.029108095986138397
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2018,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2018,0.11196
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,0.25495
Afghanistan,AFG,Gini index,SI.POV.GINI,2019,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2019,66.144
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2019,59.91
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,62.941
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2019,0.0298438913621969
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2019,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2019,0.11185
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,0.25754
Afghanistan,AFG,Gini index,SI.POV.GINI,2020,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2020,64.656
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2020,58.455
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,61.454
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2020,0.0315360920291972
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2020,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2020,0.11710000000000001
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,0.26026
Afghanistan,AFG,Gini index,SI.POV.GINI,2021,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2021,64.079
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2021,57.052
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2021,60.417
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2021,0.0235609779179185
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2021,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2021,0.11993999999999999
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,0.26314
Afghanistan,AFG,Gini index,SI.POV.GINI,2022,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2022,67.236
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2022,63.941
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2022,65.617
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2022,0.0143570437048699
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2022,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2022,0.141
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,0.26616
Afghanistan,AFG,Gini index,SI.POV.GINI,2023,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2023,67.536
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2023,64.467
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2023,66.035
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2023,0.0213559384981397
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2023,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2023,0.13991
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,0.26933
Afghanistan,AFG,Gini index,SI.POV.GINI,2024,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2024,67.536
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2024,64.467
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2024,66.035
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2024,0.028365731724352198
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2024,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2024,0.13295
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,0.27265
Argentina,ARG,Gini index,SI.POV.GINI,2000,51.0
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2000,77.288
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2000,70.498
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,73.91
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2000,0.0113312807570195
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2000,0.073
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2000,0.15
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,0.89142
Argentina,ARG,Gini index,SI.POV.GINI,2001,53.3
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2001,77.642
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2001,70.637
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,74.154
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2001,0.0109794672757946
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2001,0.107
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2001,0.1732
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,0.8932899999999999
Argentina,ARG,Gini index,SI.POV.GINI,2002,53.8
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2002,77.911
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2002,70.704
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,74.312
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2002,0.0106941318335345
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2002,0.171
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2002,0.1959
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,0.8951
Argentina,ARG,Gini index,SI.POV.GINI,2003,51.0
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2003,77.808
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2003,70.796
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,74.307
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2003,0.010331399769648
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2003,0.08199999999999999
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2003,0.1536
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,0.8968600000000001
Argentina,ARG,Gini index,SI.POV.GINI,2004,48.5
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2004,78.177
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2004,71.5
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,74.871
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2004,0.0101407652046238
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2004,0.06
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2004,0.13522
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,0.8986
Argentina,ARG,Gini index,SI.POV.GINI,2005,47.8
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2005,78.632
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2005,71.767
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,75.231
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2005,0.010274577219172201
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2005,0.044000000000000004
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2005,0.11506
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,0.90031
Argentina,ARG,Gini index,SI.POV.GINI,2006,46.4
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2006,78.437
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2006,72.021
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,75.279
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2006,0.0102824760534561
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2006,0.035
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2006,0.10078
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,0.902
Argentina,ARG,Gini index,SI.POV.GINI,2007,46.3
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2007,77.925
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2007,71.574
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,74.783
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2007,0.00991101935066697
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2007,0.027999999999999997
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2007,0.08470000000000001
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,0.90366
Argentina,ARG,Gini index,SI.POV.GINI,2008,45.0
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2008,78.577
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2008,72.192
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,75.428
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2008,0.010128887847742801
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2008,0.026000000000000002
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2008,0.07837
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,0.9053
Argentina,ARG,Gini index,SI.POV.GINI,2009,43.8
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2009,78.593
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2009,72.449
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,75.577
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2009,0.0105977470732485
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2009,0.024
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2009,0.08645
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,0.90691
Argentina,ARG,Gini index,SI.POV.GINI,2010,43.7
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2010,78.732
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2010,72.542
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2010,75.68
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2010,0.0105636332156278
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2010,0.015
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2010,0.07714
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,0.90849
