country,country_code,indicator,indicator_code,year,value
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2002,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2002,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2002,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2002,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2002,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2002,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2002,0.10483
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2002,0.07463
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2002,0.0793
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2002,0.14029
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2002,0.09512000000000001
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2002,0.10234
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2003,0.127
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2003,0.7380500000000001
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2003,0.10458
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2003,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2003,0.55543
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2003,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2003,0.33443
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2003,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2003,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2003,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2003,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2003,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2003,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2003,0.10427
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2003,0.07414
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2003,0.0788
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2003,0.13964000000000001
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2003,0.0947
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2003,0.10189
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2004,0.12741
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2004,0.7368399999999999
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2004,0.10535
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2004,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2004,0.5552900000000001
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2004,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2004,0.33479
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2004,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2004,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2004,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2004,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2004,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2004,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2004,0.10447
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2004,0.07432
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2004,0.07899
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2004,0.13964000000000001
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2004,0.09478
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2004,0.102
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2005,0.1283
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2005,0.7358
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2005,0.1067
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2005,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2005,0.55567
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2005,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2005,0.33569000000000004
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2005,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2005,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2005,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2005,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2005,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2005,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2005,0.10428000000000001
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2005,0.07416
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2005,0.07885
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2005,0.13918
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2005,0.09455999999999999
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2005,0.10181
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2006,0.12958
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2006,0.7342700000000001
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2006,0.10862
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2006,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2006,0.55606
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2006,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2006,0.33684
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2006,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2006,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2006,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2006,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2006,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2006,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2006,0.10456
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2006,0.07441
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2006,0.07914
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2006,0.1391
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2006,0.09464
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2006,0.10196999999999999
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2007,0.13168
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2007,0.73344
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2007,0.11148999999999999
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2007,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2007,0.55722
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2007,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2007,0.33883
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2007,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2007,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2007,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2007,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2007,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2007,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2007,0.10337
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2007,0.07341
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2007,0.07817
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2007,0.13746
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2007,0.09362
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2007,0.10098000000000001
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2008,0.13402
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2008,0.73104
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2008,0.11478
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2008,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2008,0.55755
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2008,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2008,0.34062
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2008,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2008,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2008,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2008,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2008,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2008,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2008,0.10397
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2008,0.07393
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2008,0.07878
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2008,0.13749
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2008,0.09384
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2008,0.10135
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2009,0.13694
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2009,0.72982
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2009,0.11869
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2009,0.35109
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2009,0.55865
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2009,0.69011
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2009,0.34313000000000005
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2009,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2009,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2009,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2009,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2009,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2009,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2009,0.10243000000000001
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2009,0.07264
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2009,0.07754
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2009,0.13539
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,2009,0.09252
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2009,0.10007999999999999
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,2010,0.13983
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,2010,0.7275499999999999
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2010,0.12263
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,2010,0.24691500000000002
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,2010,0.55897
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,2010,0.6512
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,2010,0.34527
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2010,0.0786
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2010,0.09956
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,2010,0.07578
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2010,0.0738
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,2010,0.14090999999999998
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,2010,0.06141
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2010,0.1023
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2010,0.07255
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2010,0.07753
